Coin,Price $,Time,marker
KringleKoin,289.15,19:28:24,53
KeeblerCoin,289.08,19:28:24,53
KringleKoin,290.27,19:28:30,53
KeeblerCoin,296.47,19:28:30,53
KringleKoin,291.8,19:28:36,53
KeeblerCoin,295.43,19:28:36,53
KringleKoin,295.37,19:28:42,53
KeeblerCoin,295.33,19:28:42,53
KringleKoin,300.97,19:28:48,53
KeeblerCoin,304.37,19:28:48,53
KringleKoin,306.51,19:28:54,53
KeeblerCoin,305.1,19:28:54,53
KringleKoin,305.1,19:29:00,53
KeeblerCoin,302.08,19:29:00,53
KringleKoin,300.32,19:29:06,53
KeeblerCoin,297.72,19:29:06,53
KringleKoin,305.22,19:29:12,53
KeeblerCoin,303.33,19:29:12,53
KringleKoin,309.48,19:29:18,53
KeeblerCoin,310.26,19:29:18,53
KringleKoin,312.45,19:29:24,53
KeeblerCoin,318.36,19:29:24,53
KringleKoin,315.41,19:29:30,53
KeeblerCoin,314.3,19:29:30,53
KringleKoin,313.37,19:29:36,53
KeeblerCoin,316.94,19:29:36,53
KringleKoin,317.66,19:29:42,53
KeeblerCoin,317.81,19:29:42,53
KringleKoin,322.34,19:29:48,53
KeeblerCoin,318.7,19:29:48,53
KringleKoin,317.18,19:29:54,53
KeeblerCoin,321.74,19:29:54,53
KringleKoin,318.44,19:30:00,53
KeeblerCoin,312.29,19:30:00,53
KringleKoin,313.93,19:30:06,53
KeeblerCoin,312.55,19:30:06,53
KringleKoin,311.81,19:30:12,53
KeeblerCoin,318.99,19:30:12,53
KringleKoin,319.12,19:30:18,53
KeeblerCoin,321.09,19:30:18,53
KringleKoin,328.15,19:30:24,53
KeeblerCoin,330.66,19:30:24,53
KringleKoin,333.91,19:30:30,53
KeeblerCoin,338.19,19:30:30,53
KringleKoin,333.21,19:30:36,53
KeeblerCoin,332.35,19:30:36,53
KringleKoin,341.42,19:30:42,53
KeeblerCoin,340.84,19:30:42,53
KringleKoin,343.2,19:30:48,53
KeeblerCoin,341.76,19:30:48,53
KringleKoin,343.94,19:30:54,53
KeeblerCoin,340.26,19:30:54,53
KringleKoin,340.33,19:31:00,53
KeeblerCoin,334.29,19:31:00,53
KringleKoin,340.16,19:31:06,53
KeeblerCoin,340.29,19:31:06,53
KringleKoin,342.2,19:31:12,53
KeeblerCoin,338.7,19:31:12,53
KringleKoin,333.3,19:31:18,53
KeeblerCoin,332.55,19:31:18,53
KringleKoin,334.89,19:31:24,53
KeeblerCoin,337.43,19:31:24,53
KringleKoin,335.41,19:31:30,53
KeeblerCoin,336.32,19:31:30,53
KringleKoin,341.21,19:31:36,53
KeeblerCoin,338.25,19:31:36,53
KringleKoin,337.22,19:31:42,53
KeeblerCoin,338.97,19:31:42,53
KringleKoin,344.95,19:31:48,53
KeeblerCoin,343.4,19:31:48,53
KringleKoin,345.25,19:31:54,53
KeeblerCoin,344.81,19:31:54,53
KringleKoin,342.19,19:32:00,53
KeeblerCoin,345.36,19:32:00,53
KringleKoin,346.49,19:32:06,53
KeeblerCoin,343.56,19:32:06,53
KringleKoin,342.08,19:32:12,53
KeeblerCoin,342.94,19:32:12,53
KringleKoin,338.11,19:32:18,53
KeeblerCoin,336.78,19:32:18,53
KringleKoin,329.76,19:32:24,53
KeeblerCoin,330.32,19:32:24,53
KringleKoin,327.7,19:32:30,53
KeeblerCoin,326.88,19:32:30,53
KringleKoin,334.68,19:32:36,53
KeeblerCoin,344.27,19:32:36,53
KringleKoin,344.62,19:32:42,53
KeeblerCoin,344.81,19:32:42,53
KringleKoin,344.44,19:32:48,53
KeeblerCoin,344.41,19:32:48,53
KringleKoin,347.52,19:32:54,53
KeeblerCoin,347.23,19:32:54,53
KringleKoin,347.85,19:33:00,53
KeeblerCoin,346.67,19:33:00,53
KringleKoin,344.39,19:33:06,53
KeeblerCoin,344.32,19:33:06,53
KringleKoin,344.91,19:33:12,53
KeeblerCoin,351.0,19:33:12,53
KringleKoin,352.93,19:33:18,53
KeeblerCoin,352.93,19:33:18,53
KringleKoin,354.19,19:33:24,53
KeeblerCoin,353.02,19:33:24,53
KringleKoin,347.72,19:33:30,53
KeeblerCoin,352.49,19:33:30,53
KringleKoin,353.49,19:33:36,53
KeeblerCoin,353.72,19:33:36,53
KringleKoin,349.18,19:33:42,53
KeeblerCoin,344.27,19:33:42,53
KringleKoin,345.64,19:33:48,53
KeeblerCoin,349.06,19:33:48,53
KringleKoin,341.96,19:33:54,53
KeeblerCoin,339.62,19:33:54,53
KringleKoin,340.92,19:34:00,53
KeeblerCoin,345.77,19:34:00,53
KringleKoin,349.27,19:34:06,53
KeeblerCoin,342.67,19:34:06,53
KringleKoin,341.54,19:34:12,53
KeeblerCoin,344.12,19:34:12,53
KringleKoin,340.37,19:34:18,53
KeeblerCoin,342.28,19:34:18,53
KringleKoin,337.55,19:34:24,53
KeeblerCoin,337.2,19:34:24,53
KringleKoin,338.84,19:34:30,53
KeeblerCoin,341.36,19:34:30,53
KringleKoin,338.83,19:34:36,53
KeeblerCoin,339.12,19:34:36,53
KringleKoin,342.48,19:34:42,53
KeeblerCoin,345.94,19:34:42,53
KringleKoin,343.9,19:34:48,53
KeeblerCoin,342.63,19:34:48,53
KringleKoin,340.27,19:34:54,53
KeeblerCoin,343.59,19:34:54,53
KringleKoin,345.98,19:35:00,53
KeeblerCoin,346.98,19:35:00,53
KringleKoin,347.33,19:35:06,53
KeeblerCoin,349.11,19:35:06,53
KringleKoin,348.62,19:35:12,53
KeeblerCoin,347.35,19:35:12,53
KringleKoin,345.69,19:35:18,53
KeeblerCoin,347.94,19:35:18,53
KringleKoin,345.27,19:35:24,53
KeeblerCoin,346.0,19:35:24,53
KringleKoin,350.14,19:35:30,53
KeeblerCoin,347.23,19:35:30,53
KringleKoin,348.69,19:35:36,53
KeeblerCoin,347.09,19:35:36,53
KringleKoin,344.82,19:35:42,53
KeeblerCoin,347.79,19:35:42,53
KringleKoin,346.31,19:35:48,53
KeeblerCoin,344.62,19:35:48,53
KringleKoin,345.86,19:35:54,53
KeeblerCoin,347.1,19:35:54,53
KringleKoin,340.8,19:36:00,53
KeeblerCoin,339.3,19:36:00,53
KringleKoin,337.84,19:36:06,53
KeeblerCoin,333.44,19:36:06,53
KringleKoin,335.03,19:36:12,53
KeeblerCoin,333.06,19:36:12,53
KringleKoin,342.59,19:36:18,53
KeeblerCoin,349.86,19:36:18,53
KringleKoin,349.29,19:36:24,53
KeeblerCoin,351.33,19:36:24,53
KringleKoin,356.22,19:36:30,53
KeeblerCoin,359.62,19:36:30,53
KringleKoin,365.44,19:36:36,53
KeeblerCoin,368.25,19:36:36,53
KringleKoin,369.71,19:36:42,53
KeeblerCoin,364.41,19:36:42,53
KringleKoin,370.38,19:36:48,53
KeeblerCoin,368.97,19:36:48,53
KringleKoin,370.07,19:36:54,53
KeeblerCoin,367.24,19:36:54,53
KringleKoin,376.06,19:37:00,53
KeeblerCoin,365.59,19:37:00,53
KringleKoin,380.27,19:37:06,53
KeeblerCoin,366.35,19:37:06,53
KringleKoin,380.12,19:37:12,53
KeeblerCoin,370.42,19:37:12,53
KringleKoin,371.37,19:37:18,53
KeeblerCoin,371.31,19:37:18,53
KringleKoin,378.5,19:37:24,53
KeeblerCoin,374.27,19:37:24,53
KringleKoin,386.76,19:37:30,53
KeeblerCoin,368.55,19:37:30,53
KringleKoin,386.27,19:37:36,53
KeeblerCoin,367.69,19:37:36,53
KringleKoin,380.3,19:37:42,53
KeeblerCoin,369.3,19:37:42,53
KringleKoin,392.49,19:37:48,53
KeeblerCoin,368.21,19:37:48,53
KringleKoin,395.58,19:37:54,53
KeeblerCoin,366.01,19:37:54,53
KringleKoin,403.56,19:38:00,53
KeeblerCoin,368.16,19:38:00,53
KringleKoin,408.46,19:38:06,53
KeeblerCoin,371.58,19:38:06,53
KringleKoin,406.05,19:38:12,53
KeeblerCoin,373.04,19:38:12,53
